,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
26,27,2018-02-17,@,Xavier,W,95.0,79.0,38.0,63.0,0.603,16.0,34.0,0.47100000000000003,3.0,5.0,0.6,2.0,27.0,25.0,4.0,3.0,6.0,22.0,,27.0,58.0,0.466,6.0,17.0,0.353,19.0,22.0,0.8640000000000001,4.0,26.0,15.0,4.0,1.0,11.0,16.0,Villanova NCAA
27,28,2018-02-21,,DePaul,W,93.0,62.0,34.0,57.0,0.596,10.0,23.0,0.435,15.0,21.0,0.7140000000000001,3.0,26.0,15.0,11.0,2.0,13.0,8.0,,29.0,67.0,0.433,4.0,20.0,0.2,0.0,1.0,0.0,11.0,31.0,13.0,5.0,2.0,20.0,18.0,Villanova NCAA
28,29,2018-02-24,@,Creighton,L (1 OT),83.0,89.0,30.0,73.0,0.41100000000000003,12.0,39.0,0.308,11.0,14.0,0.7859999999999999,9.0,38.0,17.0,6.0,3.0,9.0,19.0,,31.0,63.0,0.49200000000000005,12.0,29.0,0.414,15.0,20.0,0.75,4.0,36.0,19.0,5.0,5.0,12.0,16.0,Villanova NCAA
29,30,2018-02-28,@,Seton Hall,W (1 OT),69.0,68.0,24.0,66.0,0.364,8.0,36.0,0.222,13.0,16.0,0.813,9.0,41.0,13.0,7.0,4.0,9.0,17.0,,25.0,65.0,0.385,5.0,25.0,0.2,13.0,18.0,0.722,8.0,39.0,15.0,3.0,1.0,12.0,15.0,Villanova NCAA
30,31,2018-03-03,,Georgetown,W,97.0,73.0,35.0,61.0,0.574,14.0,31.0,0.452,13.0,13.0,1.0,6.0,32.0,25.0,4.0,4.0,10.0,17.0,,26.0,61.0,0.426,3.0,17.0,0.17600000000000002,18.0,21.0,0.857,7.0,25.0,11.0,5.0,0.0,10.0,16.0,Villanova NCAA
31,32,2018-03-08,N,Marquette,W,94.0,70.0,33.0,58.0,0.569,15.0,29.0,0.517,13.0,17.0,0.765,7.0,35.0,16.0,6.0,2.0,8.0,13.0,,24.0,57.0,0.42100000000000004,11.0,27.0,0.40700000000000003,11.0,12.0,0.917,6.0,23.0,12.0,4.0,3.0,10.0,13.0,Villanova NCAA
32,33,2018-03-09,N,Butler,W,87.0,68.0,29.0,61.0,0.475,14.0,34.0,0.41200000000000003,15.0,17.0,0.882,12.0,36.0,17.0,9.0,1.0,11.0,15.0,,25.0,52.0,0.48100000000000004,7.0,20.0,0.35,11.0,13.0,0.846,3.0,22.0,14.0,3.0,3.0,12.0,15.0,Villanova NCAA
33,34,2018-03-10,N,Providence,W (1 OT),76.0,66.0,28.0,64.0,0.43799999999999994,9.0,25.0,0.36,11.0,14.0,0.7859999999999999,15.0,36.0,11.0,5.0,6.0,9.0,14.0,,23.0,61.0,0.377,6.0,23.0,0.261,14.0,15.0,0.9329999999999999,9.0,26.0,16.0,6.0,4.0,11.0,16.0,Villanova NCAA
34,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">CBB at Sports Reference</a>: <a href=""https://www.sports-reference.com/cbb/schools/villanova/2018-gamelogs.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#sgl-basic"">View Original Table</a><br>Generated 3/13/2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villanova NCAA
35,1,2017-11-10,,Grambling,W,94.0,65.0,34.0,75.0,0.45299999999999996,15.0,34.0,0.441,11.0,15.0,0.733,13.0,44.0,17.0,5.0,4.0,11.0,23.0,,22.0,58.0,0.379,2.0,13.0,0.154,19.0,30.0,0.633,5.0,32.0,7.0,5.0,3.0,11.0,17.0,Virginia Commonwealth
