,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
26,27,2018-02-12,@,Alcorn State,L,52.0,84.0,19.0,54.0,0.35200000000000004,6.0,25.0,0.24,8.0,18.0,0.444,9.0,21.0,12.0,6.0,1.0,12.0,13.0,,33.0,57.0,0.579,12.0,22.0,0.545,6.0,10.0,0.6,10.0,38.0,24.0,7.0,2.0,15.0,13.0,Arkansas-Pine Bluff
27,28,2018-02-17,,Prairie View,L (1 OT),71.0,76.0,30.0,58.0,0.517,2.0,16.0,0.125,9.0,14.0,0.643,10.0,29.0,13.0,10.0,5.0,15.0,21.0,,27.0,64.0,0.42200000000000004,7.0,28.0,0.25,15.0,22.0,0.682,12.0,30.0,17.0,7.0,1.0,13.0,19.0,Arkansas-Pine Bluff
28,29,2018-02-19,,Texas Southern,W,62.0,61.0,26.0,53.0,0.491,2.0,7.0,0.28600000000000003,8.0,10.0,0.8,9.0,31.0,13.0,6.0,8.0,12.0,14.0,,22.0,48.0,0.45799999999999996,6.0,18.0,0.33299999999999996,11.0,21.0,0.524,8.0,26.0,11.0,5.0,4.0,10.0,12.0,Arkansas-Pine Bluff
29,30,2018-02-24,@,Grambling,W,75.0,66.0,25.0,56.0,0.446,4.0,12.0,0.33299999999999996,21.0,34.0,0.618,8.0,34.0,7.0,12.0,10.0,14.0,23.0,,18.0,61.0,0.295,5.0,21.0,0.23800000000000002,25.0,33.0,0.758,10.0,38.0,9.0,13.0,2.0,18.0,24.0,Arkansas-Pine Bluff
30,31,2018-02-26,@,Jackson State,L,48.0,51.0,16.0,41.0,0.39,5.0,15.0,0.33299999999999996,11.0,16.0,0.688,4.0,22.0,6.0,6.0,3.0,19.0,14.0,,17.0,55.0,0.309,4.0,21.0,0.19,13.0,15.0,0.867,11.0,32.0,4.0,10.0,3.0,13.0,17.0,Arkansas-Pine Bluff
31,32,2018-03-03,,Mississippi Valley State,W,94.0,57.0,35.0,68.0,0.515,9.0,25.0,0.36,15.0,21.0,0.7140000000000001,10.0,35.0,20.0,14.0,6.0,12.0,17.0,,21.0,54.0,0.389,2.0,14.0,0.14300000000000002,13.0,26.0,0.5,10.0,32.0,15.0,8.0,1.0,24.0,18.0,Arkansas-Pine Bluff
32,33,2018-03-06,,Mississippi Valley State,W,77.0,73.0,27.0,57.0,0.474,7.0,21.0,0.33299999999999996,16.0,22.0,0.727,6.0,25.0,20.0,9.0,7.0,11.0,16.0,,25.0,59.0,0.424,6.0,16.0,0.375,17.0,22.0,0.773,11.0,37.0,16.0,8.0,0.0,14.0,19.0,Arkansas-Pine Bluff
33,34,2018-03-09,N,Southern,W,71.0,65.0,24.0,44.0,0.545,1.0,7.0,0.14300000000000002,22.0,28.0,0.7859999999999999,3.0,23.0,13.0,4.0,4.0,11.0,25.0,,20.0,50.0,0.4,3.0,14.0,0.214,22.0,35.0,0.629,10.0,27.0,8.0,6.0,1.0,10.0,24.0,Arkansas-Pine Bluff
34,35,2018-03-10,N,Texas Southern,L,69.0,84.0,25.0,63.0,0.397,3.0,14.0,0.214,16.0,24.0,0.667,13.0,27.0,11.0,7.0,0.0,8.0,19.0,,26.0,44.0,0.591,10.0,21.0,0.47600000000000003,22.0,26.0,0.846,5.0,33.0,20.0,6.0,4.0,15.0,19.0,Arkansas-Pine Bluff
36,1,2017-11-11,,Ouachita,L,79.0,81.0,33.0,60.0,0.55,6.0,20.0,0.3,7.0,16.0,0.43799999999999994,9.0,28.0,18.0,6.0,2.0,11.0,14.0,,29.0,53.0,0.547,14.0,28.0,0.5,9.0,12.0,0.75,5.0,24.0,22.0,3.0,1.0,16.0,15.0,Arkansas-Little Rock
37,2,2017-11-14,@,Memphis,L,62.0,70.0,23.0,52.0,0.442,7.0,23.0,0.304,9.0,12.0,0.75,9.0,28.0,13.0,3.0,5.0,15.0,23.0,,23.0,55.0,0.418,8.0,18.0,0.444,16.0,23.0,0.696,9.0,25.0,9.0,7.0,0.0,11.0,14.0,Arkansas-Little Rock
38,3,2017-11-18,@,Grand Canyon,L,51.0,76.0,15.0,55.0,0.273,3.0,18.0,0.16699999999999998,18.0,26.0,0.6920000000000001,10.0,28.0,4.0,8.0,2.0,16.0,25.0,,24.0,47.0,0.511,8.0,20.0,0.4,20.0,28.0,0.7140000000000001,5.0,35.0,20.0,7.0,8.0,18.0,24.0,Arkansas-Little Rock
39,4,2017-11-20,@,San Diego,L,52.0,66.0,19.0,51.0,0.373,3.0,17.0,0.17600000000000002,11.0,19.0,0.579,11.0,35.0,9.0,8.0,1.0,15.0,19.0,,21.0,46.0,0.457,10.0,25.0,0.4,14.0,24.0,0.583,5.0,28.0,14.0,10.0,5.0,11.0,17.0,Arkansas-Little Rock
40,5,2017-11-25,,Robert Morris,L,64.0,78.0,24.0,47.0,0.511,5.0,14.0,0.35700000000000004,11.0,20.0,0.55,9.0,30.0,11.0,4.0,2.0,22.0,28.0,,23.0,53.0,0.434,11.0,30.0,0.36700000000000005,21.0,30.0,0.7,13.0,32.0,11.0,3.0,2.0,15.0,22.0,Arkansas-Little Rock
41,6,2017-11-26,,Norfolk State,W,70.0,55.0,26.0,50.0,0.52,6.0,16.0,0.375,12.0,18.0,0.667,8.0,31.0,19.0,4.0,6.0,17.0,15.0,,18.0,61.0,0.295,9.0,27.0,0.33299999999999996,10.0,15.0,0.667,15.0,32.0,7.0,4.0,3.0,21.0,20.0,Arkansas-Little Rock
42,7,2017-11-29,,Central Arkansas,W,71.0,65.0,24.0,60.0,0.4,6.0,23.0,0.261,17.0,25.0,0.68,14.0,38.0,13.0,2.0,2.0,10.0,11.0,,24.0,64.0,0.375,6.0,20.0,0.3,11.0,15.0,0.733,15.0,41.0,10.0,7.0,3.0,15.0,21.0,Arkansas-Little Rock
43,8,2017-12-02,,Oral Roberts,L (2 OT),66.0,74.0,28.0,77.0,0.364,4.0,30.0,0.133,6.0,11.0,0.545,10.0,37.0,17.0,5.0,3.0,16.0,24.0,,26.0,61.0,0.426,6.0,22.0,0.273,16.0,28.0,0.5710000000000001,11.0,48.0,17.0,4.0,6.0,21.0,13.0,Arkansas-Little Rock
